S No,State,BIO-CNG/BIO-GAS,BIO-DIESEL(B100),BIO-METHANE,CNG ONLY,DIESEL,DIESEL/HYBRID,DI-METHYL ETHER,DUAL DIESEL/BIO CNG,DUAL DIESEL/CNG,DUAL DIESEL/LNG,ELECTRIC(BOV),ETHANOL,FLEX-FUEL(BIO-DIESEL),FLEX-FUEL(ETHANOL),FUEL CELL HYDROGEN,HCNG,HYDROGEN(ICE),LNG,LPG ONLY,METHANOL,NOT APPLICABLE,PETROL,PETROL/CNG,PETROL(E20)/CNG,PETROL(E20)/HYBRID,PETROL(E20)/HYBRID/CNG,PETROL(E20)/LPG,PETROL/ETHANOL,PETROL/HYBRID,PETROL/HYBRID/CNG,PETROL/LPG,PETROL/METHANOL,PLUG-IN HYBRID EV,PURE EV,SOLAR,STRONG HYBRID EV,TOTAL
1,ANDAMAN & NICOBAR ISLAND,0,0,0,0,451,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,"5,167",0,0,0,0,0,0,14,0,0,0,0,0,0,0,"5,724"
2,ANDHRA PRADESH,0,0,0,"1,705","1,01,566",3,0,0,0,0,"9,681",0,0,0,0,0,0,0,3,0,"14,274","8,12,845","2,079",0,0,0,0,0,"6,324",4,47,0,0,0,0,0,"9,48,531"
3,ARUNACHAL PRADESH,0,0,0,4,"4,940",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,31,"18,427",3,0,0,0,0,1,100,0,0,0,0,0,0,0,"23,508"
4,ASSAM,0,0,0,4,"35,155",0,0,0,0,0,"15,632",0,0,0,0,0,0,0,0,0,887,"4,03,421",14,0,0,0,0,0,"2,256",0,0,0,0,0,0,0,"4,57,369"
5,BIHAR,0,0,0,"7,252","85,368",1,0,0,0,0,"23,085",0,0,0,0,0,0,0,62,1,"8,674","8,79,410","3,313",0,0,0,0,0,"2,845",0,27,0,0,0,0,0,"10,10,038"
6,CHANDIGARH,0,0,0,176,"7,255",0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,"28,871",772,0,0,0,0,0,807,0,0,0,0,0,0,0,"38,611"
7,CHHATTISGARH,0,0,0,2,"53,024",0,0,0,0,0,"4,216",0,0,0,0,0,0,0,28,0,"6,300","3,88,475",6,0,0,0,0,0,"3,857",0,36,0,0,0,0,0,"4,55,944"
8,DELHI,0,0,0,"25,373","11,943",0,0,0,0,0,"25,802",0,0,0,0,0,0,0,0,0,0,"3,61,117","28,029",1,0,0,0,1,"6,316",4,0,0,0,0,0,0,"4,58,586"
9,GOA,0,0,0,159,"2,976",0,0,0,0,0,"1,097",0,0,0,0,0,0,0,0,0,1,"45,628",214,0,0,0,0,0,875,0,0,0,0,0,0,0,"50,950"
10,GUJARAT,0,0,0,"31,584","1,60,251",0,0,0,4,0,"9,762",0,0,0,0,0,0,1,0,1,"5,176","9,87,944","52,420",0,0,1,0,0,"9,370",34,0,0,0,0,0,0,"12,56,548"
11,HARYANA,0,0,0,"17,376","1,03,767",0,0,0,7,0,"8,664",0,0,0,0,0,0,0,0,0,81,"4,60,237","36,654",0,0,0,0,0,"4,570",1,269,0,0,0,0,0,"6,31,626"
12,HIMACHAL PRADESH,0,0,0,78,"14,919",2,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,"98,935",114,0,0,0,0,0,555,0,0,0,0,0,0,0,"1,14,929"
13,JAMMU AND KASHMIR,0,0,0,0,"22,155",0,0,0,0,0,"1,146",0,0,0,0,0,0,0,0,0,0,"1,33,393",1,0,0,0,0,0,526,0,0,0,0,0,0,0,"1,57,221"
14,JHARKHAND,0,0,0,"1,738","37,572",0,0,0,0,0,"3,740",0,0,0,0,0,0,0,3,0,535,"4,22,611","1,410",0,0,0,0,0,"3,032",0,2,0,0,0,0,0,"4,70,643"
15,KARNATAKA,0,0,0,"3,481","1,39,415",9,0,0,0,0,"33,290",0,0,0,0,0,0,0,"4,229",0,"16,764","9,59,291","5,725",1,0,0,0,0,"13,584",1,"3,085",0,0,0,1,0,"11,78,876"
16,KERALA,0,0,0,"2,799","53,188",0,0,0,0,0,"8,741",0,0,0,0,0,0,0,153,0,2,"6,88,293","3,477",0,0,0,0,0,"9,049",1,252,0,0,0,0,0,"7,65,955"
17,LADAKH,0,0,0,0,"1,038",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"2,681",0,0,0,0,0,0,25,0,0,0,0,0,0,0,"3,750"
18,LAKSHADWEEP,0,0,0,0,45,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"1,015",2,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,066"
19,MADHYA PRADESH,0,0,0,904,"1,52,895",1,0,0,0,0,"10,442",0,0,0,0,0,0,0,20,0,"2,375","9,64,662","11,489",4,0,0,0,0,"4,522",16,"3,292",0,0,0,0,0,"11,50,622"
20,MAHARASHTRA,0,0,0,"31,533","2,43,694",1,0,0,0,0,"29,914",0,0,0,0,0,0,0,995,0,"16,533","15,07,390","73,697",1,0,1,0,0,"18,141",1,"1,368",0,0,0,0,0,"19,23,269"
21,MANIPUR,0,0,0,0,"3,094",1,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,"32,578",2,0,0,0,0,0,196,0,0,0,0,0,0,0,"35,985"
22,MEGHALAYA,0,0,0,0,"4,060",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,"21,681",0,0,0,0,0,0,123,0,0,0,0,0,0,0,"25,881"
23,MIZORAM,0,0,0,0,"3,143",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"21,981",0,0,0,0,0,0,37,0,0,0,0,0,0,0,"25,162"
24,NAGALAND,0,0,0,12,"9,492",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,"12,245",1,0,0,0,0,0,99,0,0,0,0,0,0,0,"21,862"
25,ODISHA,0,0,0,241,"56,599",0,0,0,0,0,"5,626",0,0,0,0,0,0,0,0,0,"3,310","4,66,238",741,0,0,0,0,0,"4,024",0,12,0,0,0,0,0,"5,36,791"
26,PUDUCHERRY,0,0,0,13,"2,187",0,0,0,0,0,406,0,0,0,0,0,0,0,14,0,0,"41,886",21,0,0,0,0,0,581,0,5,0,0,0,0,0,"45,113"
27,PUNJAB,0,0,0,"3,317","77,660",7,0,0,1,0,"4,650",0,0,0,0,0,0,3,0,0,1,"4,24,078","5,753",0,0,0,0,0,"2,410",0,1,0,0,0,0,0,"5,17,881"
28,RAJASTHAN,0,0,0,"4,578","1,66,908",1,0,0,2,0,"23,469",0,0,0,0,0,0,0,902,0,559,"8,48,205","10,721",0,0,0,0,1,"4,130",6,"4,369",0,0,0,0,0,"10,63,851"
29,SIKKIM,0,0,0,0,"1,905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,094",0,0,0,0,0,0,19,0,0,0,0,0,0,0,"10,018"
30,TAMIL NADU,0,0,0,"1,456","1,24,293",8,0,0,0,0,"30,169",0,0,0,0,0,0,0,"1,689",0,2,"13,37,582","2,028",0,0,0,0,0,"14,662",3,"3,390",0,0,0,0,0,"15,15,282"
31,TRIPURA,0,0,0,"2,136","2,378",0,0,0,0,0,"2,434",0,0,0,0,0,0,0,0,0,0,"36,881","2,381",0,0,0,0,0,117,0,0,0,0,0,0,0,"46,327"
32,UT OF DNH AND DD,0,0,0,235,"3,434",0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,15,"11,959",595,0,0,0,0,0,210,0,0,0,0,0,0,0,"16,476"
33,UTTARAKHAND,0,0,0,"1,083","16,952",1,0,0,0,0,"5,323",0,0,0,0,0,0,0,34,0,162,"1,69,467","2,006",0,0,0,0,0,989,0,11,0,0,0,0,0,"1,96,028"
34,UTTAR PRADESH,0,0,0,"28,870","2,48,546",3,0,0,1,0,"66,710",0,0,0,0,0,0,0,"2,128",0,246,"23,91,260","43,264",0,0,0,0,0,"12,311",8,"2,796",0,0,0,0,0,"27,96,143"
35,WEST BENGAL,0,0,0,231,"59,962",0,0,0,0,0,"6,411",0,0,0,0,0,0,0,"3,153",0,192,"8,77,551",681,0,0,0,0,0,"4,965",1,"2,115",0,0,0,0,0,"9,55,262"
